"property name","description","unit","access","comment"
"moments/n-total-lbsft","total moment along the Z axis","LBS*FT","RO","total moment in the body frame at ARP"
"moments/n-total-nm","total moment along the Z axis","N*M","RO","total moment in the body frame at ARP"
"accelerations/a-pilot-x-ft_sec2","acceleration at pilot along the X axis","FT/SEC^2","RO","acceleration in the body frame"
"accelerations/a-pilot-x-m_sec2","acceleration at pilot along the X axis","M/SEC^2","RO","acceleration in the body frame"
"accelerations/a-pilot-y-ft_sec2","acceleration at pilot along the Y axis","FT/SEC^2","RO","acceleration in the body frame"
"accelerations/a-pilot-y-m_sec2","acceleration at pilot along the Y axis","M/SEC^2","RO","acceleration in the body frame"
"accelerations/a-pilot-z-ft_sec2","acceleration at pilot along the Z axis","FT/SEC^2","RO","acceleration in the body frame"
"accelerations/a-pilot-z-m_sec2","acceleration at pilot along the Z axis","M/SEC^2","RO","acceleration in the body frame"
"accelerations/n-pilot-x-norm","load at pilot along the X axis","norm","RO","load in the body frame"
"accelerations/n-pilot-y-norm","load at pilot along the Y axis","norm","RO","load in the body frame"
"accelerations/n-pilot-z-norm","load at pilot along the Z axis","norm","RO","load in the body frame"
"accelerations/pdot-deg_sec","angular acceleration along the X axis","DEG/SEC^2","RO","angular acceleration in the body frame"
"accelerations/pdot-rad_sec","angular acceleration along the X axis","RAD/SEC^2","RO","angular acceleration in the body frame"
"accelerations/qdot-deg_sec","angular acceleration along the Y axis","DEG/SEC^2","RO","angular acceleration in the body frame"
"accelerations/qdot-rad_sec","angular acceleration along the Y axis","RAD/SEC^2","RO","angular acceleration in the body frame"
"accelerations/rdot-deg_sec","angular acceleration along the Z axis","DEG/SEC^2","RO","angular acceleration in the body frame"
"accelerations/rdot-rad_sec","angular acceleration along the Z axis","RAD/SEC^2","RO","angular acceleration in the body frame"
"accelerations/udot-fps","acceleration along the X axis","FT/SEC^2","RO","acceleration in the body frame"
"accelerations/udot-mps","acceleration along the X axis","M/SEC^2","RO","acceleration in the body frame"
"accelerations/vdot-fps","acceleration along the Y axis","FT/SEC^2","RO","acceleration in the body frame"
"accelerations/vdot-mps","acceleration along the Y axis","M/SEC^2","RO","acceleration in the body frame"
"accelerations/wdot-fps","acceleration along the Z axis","FT/SEC^2","RO","acceleration in the body frame"
"accelerations/wdot-mps","acceleration along the Z axis","M/SEC^2","RO","acceleration in the body frame"
"velocities/vc-fps","calibrated speed","FPS","RO",""
"velocities/vc-kts","calibrated speed","KTS","RO",""
"velocities/vc-mps","calibrated speed","MPS","RO",""
"velocities/ve-fps","equivalent speed","FPS","RO",""
"velocities/ve-kts","equivalent speed","KTS","RO",""
"velocities/ve-mps","equivalent speed","MPS","RO",""
"velocities/tat-r","total temperature","DEG","RO","total temperature in degrees Rankine"
"velocities/tat-c","total temperature","DEG","RO","total temperature in degrees Celsius"
"velocities/pt-lbs_sqft","total pressure","PSF","RO",""
"velocities/pt-pa","total pressure","Pa","RO",""
"velocities/p-aero-deg_sec","angular velocity along the X axis","DEG/SEC","RO","angular velocity in the body frame"
"velocities/p-aero-rad_sec","angular velocity along the X axis","RAD/SEC","RO","angular velocity in the body frame"
"velocities/q-aero-deg_sec","angular velocity along the Y axis","DEG/SEC","RO","angular velocity in the body frame"
"velocities/q-aero-rad_sec","angular velocity along the Y axis","RAD/SEC","RO","angular velocity in the body frame"
"velocities/r-aero-deg_sec","angular velocity along the Z axis","DEG/SEC","RO","angular velocity in the body frame"
"velocities/r-aero-rad_sec","angular velocity along the Z axis","RAD/SEC","RO","angular velocity in the body frame"
"velocities/phidot-deg_sec","angular speed for the phi angle","DEG/SEC","RO",""
"velocities/phidot-rad_sec","angular speed for the phi angle","RAD/SEC","RO",""
"velocities/thetadot-deg_sec","angular speed for the theta angle","DEG/SEC","RO",""
"velocities/thetadot-rad_sec","angular speed for the theta angle","RAD/SEC","RO",""
"velocities/psidot-deg_sec","angular speed for the psi angle","DEG/SEC","RO",""
"velocities/psidot-rad_sec","angular speed for the psi angle","RAD/SEC","RO",""
"velocities/u-aero-fps","velocity along the X axis","FPS","RO","aero velocity in the body frame, the wind is considered"
"velocities/u-aero-mps","velocity along the X axis","MPS","RO","aero velocity in the body frame, the wind is considered"
"velocities/v-aero-fps","velocity along the Y axis","FPS","RO","aero velocity in the body frame, the wind is considered"
"velocities/v-aero-mps","velocity along the Y axis","MPS","RO","aero velocity in the body frame, the wind is considered"
"velocities/w-aero-fps","velocity along the Z axis","FPS","RO","aero velocity in the body frame, the wind is considered"
"velocities/w-aero-mps","velocity along the Z axis","MPS","RO","aero velocity in the body frame, the wind is considered"
"velocities/vt-fps","the true aero speed","FPS","RO","the wind is considered"
"velocities/vt-mps","the true aero speed","MPS","RO","the wind is considered"
"velocities/mach-norm","the mach number","norm","RO","the wind is considered"
"velocities/vg-fps","the ground speed","FPS","RO","refer to the ground"
"velocities/vg-mps","the ground speed","MPS","RO","refer to the ground"
"velocities/h-dot-fps","vertical speed","FPS","RO",""
"velocities/h-dot-mps","vertical speed","MPS","RO",""
"velocities/v-north-fps","northward speed","FPS","RO","speed in the local frame"
"velocities/v-north-mps","northward speed","MPS","RO","speed in the local frame"
"velocities/v-east-fps","eastward speed","FPS","RO","speed in the local frame"
"velocities/v-east-mps","eastward speed","MPS","RO","speed in the local frame"
"velocities/v-down-fps","downward speed","FPS","RO","speed in the local frame"
"velocities/v-down-mps","downward speed","MPS","RO","speed in the local frame"
"velocities/u-fps","velocity along the X axis","FPS","RO","speed in the body frame"
"velocities/u-mps","velocity along the X axis","MPS","RO","speed in the body frame"
"velocities/v-fps","velocity along the Y axis","FPS","RO","speed in the body frame"
"velocities/v-mps","velocity along the Y axis","MPS","RO","speed in the body frame"
"velocities/w-fps","velocity along the Z axis","FPS","RO","speed in the body frame"
"velocities/w-mps","velocity along the Z axis","MPS","RO","speed in the body frame"
"velocities/p-deg_sec","angular velocity along the X axis","DEG/SEC","RO","angular speed in the body frame"
"velocities/p-rad_sec","angular velocity along the X axis","RAD/SEC","RO","angular speed in the body frame"
"velocities/q-deg_sec","angular velocity along the Y axis","DEG/SEC","RO","angular speed in the body frame"
"velocities/q-rad_sec","angular velocity along the Y axis","RAD/SEC","RO","angular speed in the body frame"
"velocities/r-deg_sec","angular velocity along the Z axis","DEG/SEC","RO","angular speed in the body frame"
"velocities/r-rad_sec","angular velocity along the Z axis","RAD/SEC","RO","angular speed in the body frame"
"attitude/phi-deg","roll angle","DEG","RO","the Euler angle"
"attitude/phi-rad","roll angle","RAD","RO","the Euler angle"
"attitude/roll-deg","roll angle","DEG","RO","the Euler angle"
"attitude/roll-rad","roll angle","RAD","RO","the Euler angle"
"attitude/theta-deg","pitch angle","DEG","RO","the Euler angle"
"attitude/theta-rad","pitch angle","RAD","RO","the Euler angle"
"attitude/pitch-deg","pitch angle","DEG","RO","the Euler angle"
"attitude/pitch-rad","pitch angle","RAD","RO","the Euler angle"
"attitude/psi-deg","heading angle","DEG","RO","the Euler angle"
"attitude/psi-rad","heading angle","RAD","RO","the Euler angle"
"attitude/heading-true-deg","heading angle","DEG","RO","the Euler angle"
"attitude/heading-true-rad","heading angle","RAD","RO","the Euler angle"
"position/epa-rad","earch position angle","RAD","RO","earthPosAngle += State->Getdt()*Inertial->omega();"
"position/h-sl-ft","height from sea level","FT","RO",""
"position/h-sl-m","height from sea level","M","RO",""
"position/lat-gc-rad","latitude","RAD","RO",""
"position/long-gc-rad","longitude","RAD","RO",""
"position/h-agl-ft","height from runway","FT","RO",""
"position/h-agl-m","height from runway","M","RO",""
"flight-path/gamma-rad","gamma angle","RAD","RO","vertical flight path angle, from -pi/2 ~ pi/2"
"flight-path/psi-gt-rad","psi angle","RAD","RO","horizontal flight path angle, from 0 ~ 2pi"
"fcs/aileron-cmd-norm","aileron command","norm","R/W","range from 0 to 1"
"fcs/elevator-cmd-norm","elevator command","norm","R/W","range from 0 to 1, must appear in FCS modal"
"fcs/rudder-cmd-norm","rudder command","norm","R/W","range from 0 to 1, must appear in FCS modal"
"fcs/steer-cmd-norm","steer command","norm","R/W","range from 0 to 1"
"fcs/flap-cmd-norm","flap command","norm","R/W","range from 0 to 1"
"fcs/speedbrake-cmd-norm","speedbrake","norm","R/W","range from 0 to 1"
"fcs/spoiler-cmd-norm","spoiler command","norm","R/W","range from 0 to 1"
"fcs/pitch-trim-cmd-norm","pitch trim command","norm","R/W","range from 0 to 1, must appear in FCS modal"
"fcs/roll-trim-cmd-norm","roll trim command","norm","R/W","range from 0 to 1, must appear in FCS modal"
"fcs/yaw-trim-cmd-norm","yaw trim command","norm","R/W","range from 0 to 1, must appear in FCS modal"
"gear/gear-cmd-norm","gear command","norm","R/W","range from 0 to 1"
"propulsion/active_engine","active engine","norm","R/W","-1 means that all engines are running"
"fcs/throttle-cmd-norm","throttle command","norm","R/W","from 0 to 1, it must appear in the FCS modal"
"fcs/left-aileron-pos-deg","left aileron positon","DEG","R/W","it must appear in the FCS modal"
"fcs/left-aileron-pos-rad","left aileron positon","RAD","R/W","it must appear in the FCS modal"
"fcs/right-aileron-pos-deg","right aileron position","DEG","R/W","it must appear in the FCS modal"
"fcs/right-aileron-pos-rad","right aileron position","RAD","R/W","it must appear in the FCS modal"
"fcs/elevator-pos-deg","elevator position","DEG","R/W","it must appear in the FCS modal"
"fcs/elevator-pos-rad","elevator position","RAD","R/W","it must appear in the FCS modal"
"fcs/rudder-pos-deg","rudder position","DEG","R/W","it must appear in the FCS modal"
"fcs/rudder-pos-rad","rudder position","RAD","R/W","it must appear in the FCS modal"
"fcs/throttle-pos-norm","throttle position","norm","R/W","from 0 to 2, it must appear in the FCS modal"
"propulsion/pitch-deg","throttle attitude","DEG","R/W","use propulsion/pitch-deg[1] for the second engine"
"propulsion/yaw-deg","throttle attitude","DEG","R/W","use propulsion/yaw-deg[1] for the second engine"
"gear/gear-pos-norm","gear position","norm","R/W",""
"fcs/flap-pos-norm","flap position norm","norm","R/W","do not use the other one together"
"fcs/flap-pos-deg","flap position","DEG","R/W","do not use the other one together"
"fcs/speedbrake-pos-norm","speedbrake position","norm","R/W","do not use the other one together"
"fcs/speedbrake-pos-deg","speedbrake position","DEG","R/W","do not use the other one together"
"fcs/speedbrake-pos-rad","speedbrake position","RAD","R/W","do not use the other one together"
"fcs/spoiler-pos-norm","spoiler position","norm","R/W","do not use the other one together"
"fcs/spoiler-pos-deg","spoiler position","DEG","R/W","do not use the other one together"
"fcs/spoiler-pos-rad","spoiler position","RAD","R/W","do not use the other one together"
